bsa_section_id,bsa_title,evidence_section_id,evidence_title,score,reason,drop_reason
73,In order to ascertain whether a digital signature is that of the person by whom it,73a,Proof as to verification of digital signature,3.250,"shared_keywords=['digital', 'signature']; title_jaccard=0.33",score=3.25; jaccard=0.33
118,When the question is whether a person has committed the dowry death of a,113b,Presumption as to dowry death,3.100,"shared_keywords=['death', 'dowry']; title_jaccard=0.33",score=3.1; jaccard=0.33
139,No particular number of witnesses shall in any case be required for the proof of,134,Number of witnesses,3.100,"shared_keywords=['number', 'witnesses']; title_jaccard=0.33",score=3.1; jaccard=0.33
154,The Court may forbid any questions or inquiries which it regards as indecent or,151,Indecent and scandalous questions,3.100,"shared_keywords=['indecent', 'questions']; title_jaccard=0.33",score=3.1; jaccard=0.33
135,No witness who is not a party to a suit shall be compelled to produce his,147,When witness to be compelled to answer,3.000,"shared_keywords=['compelled', 'witness']; title_jaccard=0.33",score=3.0; jaccard=0.33
142,The examination of a witness by the party who calls him shall be called his,154,Question by party to his own witness,3.000,"shared_keywords=['party', 'witness']; title_jaccard=0.33",score=3.0; jaccard=0.33
167,"When a party refuses to produce a document which he has had notice to produce,",66,Rules as to notice to produce,3.000,"shared_keywords=['notice', 'produce']; title_jaccard=0.33",score=3.0; jaccard=0.33
56,The contents of documents may be proved either by primary or by secondary,61,Proof of contents of documents,2.957,"shared_keywords=['contents', 'documents']; title_jaccard=0.29",score=2.957; jaccard=0.29
61,Nothing in this Adhiniyam shall apply to deny the admissibility of an electronic,65b,Admissibility of electronic records,2.957,"shared_keywords=['admissibility', 'electronic']; title_jaccard=0.29",score=2.957; jaccard=0.29
119,The Court may presume the existence of any fact which it thinks likely to have,114,Court may presume existence of certain facts,2.957,"shared_keywords=['existence', 'presume']; title_jaccard=0.29",score=2.957; jaccard=0.29
149,"When a witness is cross-examined, he may, in addition to the questions",146,Questions lawful in cross-examination,2.957,"shared_keywords=['cross', 'questions']; title_jaccard=0.29",score=2.957; jaccard=0.29
155,The Court shall forbid any question which appears to it to be intended to insult,152,Questions intended to insult or annoy,2.957,"shared_keywords=['insult', 'intended']; title_jaccard=0.29",score=2.957; jaccard=0.29
158,The credit of a witness may be impeached in the following ways by the adverse,155,Impeaching credit of witness,2.957,"shared_keywords=['credit', 'witness']; title_jaccard=0.29",score=2.957; jaccard=0.29
116,The fact that any person was born during the continuance of a valid marriage,122,Communications during marriage,2.857,"shared_keywords=['during', 'marriage']; title_jaccard=0.29",score=2.857; jaccard=0.29
120,In a prosecution for rape under sub-section (2) of section 64 of the Bharatiya,114a,Presumption as to absence of consent in certain prosecution for rape,2.857,"shared_keywords=['prosecution', 'rape']; title_jaccard=0.29",score=2.857; jaccard=0.29
81,The Court shall presume the genuineness of every electronic or digital record,85b,Presumption as to electronic records and digital signatures,2.850,"shared_keywords=['digital', 'electronic']; title_jaccard=0.25",score=2.85; jaccard=0.25
92,"Where any document, purporting or proved to be thirty years old, is produced",90,Presumption as to documents thirty years old,2.850,"shared_keywords=['thirty', 'years']; title_jaccard=0.25",score=2.85; jaccard=0.25
117,When the question is whether the commission of suicide by a woman had been,113a,Presumption as to abetment of suicide by a married woman,2.850,"shared_keywords=['suicide', 'woman']; title_jaccard=0.25",score=2.85; jaccard=0.25
6,Any fact is relevant which shows or constitutes a motive or preparation for any,8,"Motive, preparation and previous or subsequent conduct",2.767,"shared_keywords=['motive', 'preparation']; title_jaccard=0.22",score=2.767; jaccard=0.22
79,"Whenever any document is produced before any Court, purporting to be a record",80,Presumption as to documents produced as record of evidence,2.767,"shared_keywords=['produced', 'record']; title_jaccard=0.22",score=2.767; jaccard=0.22
141,"When either party proposes to give evidence of any fact, the Judge may ask",136,Judge to decide as to admissibility of evidence,2.767,"shared_keywords=['evidence', 'judge']; title_jaccard=0.22",score=2.767; jaccard=0.22
144,A person summoned to produce a document does not become a witness by the,139,Cross-examination of person called to produce a document,2.767,"shared_keywords=['document', 'produce']; title_jaccard=0.22",score=2.767; jaccard=0.22
152,"No such question as is referred to in section 151 ought to be asked, unless the",150,Procedure of Court in case of question being asked without reasonable grounds,2.767,"shared_keywords=['asked', 'question']; title_jaccard=0.22",score=2.767; jaccard=0.22
166,When a party calls for a document which he has given the other party notice to,164,"Using, as evidence, of document production of which was refused on notice",2.767,"shared_keywords=['document', 'notice']; title_jaccard=0.22",score=2.767; jaccard=0.22
125,A witness who is unable to speak may give his evidence in any other manner in,119,Witness unable to communicate verbally,2.750,"shared_keywords=['unable', 'witness']; title_jaccard=0.25",score=2.75; jaccard=0.25
96,"When the language used in a document is, on its face, ambiguous or defective,",93,Exclusion of evidence to explain or amend ambiguous document,2.700,"shared_keywords=['ambiguous', 'document']; title_jaccard=0.20",score=2.7; jaccard=0.2
99,When the facts are such that the language used might have been meant to apply,96,Evidence as to application of language which can apply to one only of several persons,2.700,"shared_keywords=['apply', 'language']; title_jaccard=0.20",score=2.7; jaccard=0.2
159,When a witness whom it is intended to corroborate gives evidence of any,156,"Question tending to corroborate evidence of relevant fact, admissible",2.700,"shared_keywords=['corroborate', 'evidence']; title_jaccard=0.20",score=2.7; jaccard=0.2
85,The Court shall presume that every electronic record purporting to be an agreement,65a,Special provisions as to evidence relating to electronic record,2.667,"shared_keywords=['electronic', 'record']; title_jaccard=0.22",score=2.667; jaccard=0.22
87,"The Court shall presume, unless contrary is proved, that the information listed in",27,How much of information received from accused may be proved,2.667,"shared_keywords=['information', 'proved']; title_jaccard=0.22",score=2.667; jaccard=0.22
162,"A witness may, while under examination, refresh his memory by referring to",161,Right of adverse party as to writing used to refresh memory,2.645,"shared_keywords=['memory', 'refresh']; title_jaccard=0.18",score=2.645; jaccard=0.18
41,When the Court has to form an opinion as to the person by whom any document,91,"Evidence of terms of contracts, grants and other dispositions of property reduced to form of document",2.600,"shared_keywords=['document', 'form']; title_jaccard=0.20",score=2.6; jaccard=0.2
46,In civil cases the fact that the character of any person concerned is such as to,32,"Cases in which statement of relevant fact by person who is dead or cannot be found, etc., is relevant",2.600,"shared_keywords=['cases', 'fact']; title_jaccard=0.20",score=2.6; jaccard=0.2
129,No one shall be permitted to give any evidence derived from unpublished official,99,Who may give evidence of agreement varying term of document,2.600,"shared_keywords=['evidence', 'give']; title_jaccard=0.20",score=2.6; jaccard=0.2
138,An accomplice shall be a competent witness against an accused person;,26,Confession by accused while in custody of police not to be proved against him,2.600,"shared_keywords=['accused', 'against']; title_jaccard=0.20",score=2.6; jaccard=0.2
150,"If any such question relates to a matter relevant to the suit or proceeding, the",40,Previous judgments relevant to bar a second suit or trial,2.600,"shared_keywords=['relevant', 'suit']; title_jaccard=0.20",score=2.6; jaccard=0.2
114,"Where there is a question as to the good faith of a transaction between parties,",111,Proof of good faith in transactions where one party is in relation of active confidence,2.562,"shared_keywords=['faith', 'good']; title_jaccard=0.15",score=2.562; jaccard=0.15
26,"Statements, written or verbal, of relevant facts made by a person who is dead, or",28,"Confession made after removal of impression caused by inducement, threat or promise relevant",2.500,"shared_keywords=['made', 'relevant']; title_jaccard=0.13",score=2.5; jaccard=0.13
31,When the Court has to form an opinion as to the existence of any fact of a public,37,"Relevancy of statement as to fact to public nature, contained in certain Acts or notifications",2.500,"shared_keywords=['fact', 'public']; title_jaccard=0.17",score=2.5; jaccard=0.17
40,"Facts, not otherwise relevant, are relevant if they support or are inconsistent",29,"Confession otherwise relevant not to become irrelevant because of promise of secrecy, etc",2.500,"shared_keywords=['otherwise', 'relevant']; title_jaccard=0.17",score=2.5; jaccard=0.17
27,"Evidence given by a witness in a judicial proceeding, or before any person",33,"Relevancy of certain evidence for proving, in subsequent proceeding, the truth of facts therein stated",2.429,"shared_keywords=['evidence', 'proceeding']; title_jaccard=0.14",score=2.429; jaccard=0.14
53,No fact needs to be proved in any proceeding which the parties thereto or their,157,Former statements of witness may be proved to corroborate later testimony as to same fact,2.429,"shared_keywords=['fact', 'proved']; title_jaccard=0.14",score=2.429; jaccard=0.14
146,Any question suggesting the answer which the person putting it wishes or,141,Leading questions,2.100,"shared_keywords=['leading', 'questions']; title_jaccard=0.00",score=2.1; jaccard=0.0
