direction,bns_section_id,bns_title,ipc_section_id,ipc_title,bridge_kind,mapping_note
bns_to_ipc,100,Culpable homicide.,299,Causes death by doing an act with the intention of causing death,auto,matched via shared concepts: culpable-homicide
bns_to_ipc,101,Murder.,300,"Except in the cases hereinafter excepted, culpable homicide is murder, if the act by wh...",auto,matched via shared concepts: murder
bns_to_ipc,102,Culpable homicide by causing death of person other than person whose death was intended.,299,Causes death by doing an act with the intention of causing death,auto,matched via shared concepts: culpable-homicide
bns_to_ipc,103,Punishment for murder.,302,Murder,auto,matched via shared concepts: murder
bns_to_ipc,104,Punishment for murder by life-convict,303,Murder by a person under Sentence of imprisonment for life,auto,matched via shared concepts: murder
bns_to_ipc,105,Punishment for culpable homicide not amounting to murder.,304,"Culpable homicide not amounting to murder, If act by which the death is caused is done with intention of causing death, etc.",auto,"matched via content overlap: amount, culpable, homicide"
bns_to_ipc,106,Causing death by negligence.,299,Causes death by doing an act with the intention of causing death,auto,matched via shared concepts: culpable-homicide
bns_to_ipc,107,Abetment of suicide of child or person of unsound mind.,305,"Abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated",auto,"matched via content overlap: abetment, child, deliriou"
bns_to_ipc,108,Abetment of suicide.,306,"Abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated",manual,manual correction: Abetment of suicide (general) -> IPC §306
bns_to_ipc,109,Attempt to murder.,307,Attempt to murder,auto,matched via shared concepts: murder
bns_to_ipc,11,Solitary confinement.,347,"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",auto,matched via content overlap: confinement
bns_to_ipc,110,Attempt to commit culpable homicide.,308,Attempt to commit culpable homicide,auto,"matched via content overlap: attempt, culpable, homicide"
bns_to_ipc,114,Hurt.,319,cause hurt,auto,matched via shared concepts: hurt
bns_to_ipc,115,Voluntarily causing hurt.,323,Voluntarily causing hurt,manual,manual: voluntarily causing hurt (IPC §323 → BNS §115; not provocation §122)
bns_to_ipc,116,Grievous hurt.,320,"The following kinds of hurt only are designated as \""grievous\"": Emasculation. Permanent ...",auto,"matched via shared concepts: grievous-hurt, hurt"
bns_to_ipc,117,Voluntarily causing grievous hurt.,322,"Voluntarily causes hurt, if the hurt which he intends to cause or knows himself to be likely to cause is grievous hurt",auto,matched via shared concepts: grievous-hurt
bns_to_ipc,118,Voluntarily causing hurt or grievous hurt by dangerous weapons or means.,326,Voluntarily causing grievous hurt by dangerous weapons or means,auto,"matched via shared concepts: grievous-hurt, hurt"
bns_to_ipc,119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act.",329,"Voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence",auto,matched via shared concepts: hurt
bns_to_ipc,12,Limit of solitary confinement.,74,Limit of solitary confinement,manual,manual mapping: limit of solitary confinement — IPC §74
bns_to_ipc,120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.",331,"Voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.",auto,matched via shared concepts: hurt
bns_to_ipc,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty,333,Voluntarily causing grievous hurt to deter public servant from his duty,auto,"matched via content overlap: deter, duty, from"
bns_to_ipc,122,Voluntarily causing hurt or grievous hurt on provocation.,334,"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation",manual,manual: hurt on provocation (IPC §334 → BNS §122; not IPC §323)
bns_to_ipc,123,"Causing hurt by means of poison, etc., with intent to commit an offence.",328,"Administering stupefying drug with intent to cause hurt, etc.",auto,matched via shared concepts: hurt
bns_to_ipc,124,"Voluntarily causing grievous hurt by use of acid, etc.",326a,"Voluntarily causing grievous hurt by use of acid, etc.",auto,matched via shared concepts: grievous-hurt
bns_to_ipc,125,Act endangering life or personal safety of others.,336,Doing any act which endangers human life or the personal safety of others,auto,"matched via content overlap: endanger, hurt, life"
bns_to_ipc,126,Wrongful restraint.,425,"With intent to cause, or knowing that he is likely to cause, wrongful loss or damage to the public or to any person",auto,matched via content overlap: wrongful
bns_to_ipc,127,Wrongful confinement.,346,Wrongful confinement in secret,auto,matched via shared concepts: wrongful-confinement
bns_to_ipc,128,Force.,350,use criminal force to that other,auto,matched via shared concepts: criminal-force
bns_to_ipc,129,Criminal force.,350,use criminal force to that other,auto,matched via shared concepts: criminal-force
bns_to_ipc,130,Assault.,351,commit an assault,auto,"matched via shared concepts: assault, criminal-force"
bns_to_ipc,131,Punishment for assault or criminal force otherwise than on grave provocation.,355,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation",auto,matched via shared concepts: assault
bns_to_ipc,132,Assault or criminal force to deter public servant from discharge of his duty.,353,Assault or use of criminal force to deter a public servant from discharge of his duty,auto,matched via shared concepts: assault
bns_to_ipc,133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation.",355,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation",auto,matched via shared concepts: assault
bns_to_ipc,134,Assault or criminal force in attempt to commit theft of property carried by a person.,356,Assault or criminal force in attempt to commit theft of property worn or carried by a person,auto,matched via shared concepts: assault
bns_to_ipc,135,Assault or criminal force in attempt to wrongfully confine a person.,357,Assault or use of criminal Force in attempt wrongfully to confine a person,auto,matched via shared concepts: assault
bns_to_ipc,136,Assault or criminal force on grave provocation.,355,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation",auto,matched via shared concepts: assault
bns_to_ipc,137,Kidnapping.,359,"Kidnapping is of two kinds: kidnapping from India, and kidnapping from lawful guardians...",auto,matched via shared concepts: kidnapping
bns_to_ipc,138,Abduction.,362,abduct that person,auto,matched via shared concepts: abduction
bns_to_ipc,139,Kidnapping or maiming a child for purposes of begging.,363a,Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging,auto,matched via shared concepts: kidnapping
bns_to_ipc,14,"Act done by a person bound, or by mistake of fact believing himself bound, by law",418,"Cheating a person whose interest the offender was bound, either by law or by legal contract, to protect",auto,"matched via content overlap: bound, legal"
bns_to_ipc,140,"Kidnapping or abducting in order to murder or for ransom, etc.",367,"Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.",auto,"matched via shared concepts: abduction, kidnapping"
bns_to_ipc,141,Importation of girl or boy from foreign country,366b,Importation of girl from foreign country,auto,"matched via content overlap: country, foreign, from"
bns_to_ipc,142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person.",368,Concealing or keeping in confinement a kidnapped person,auto,"matched via shared concepts: abduction, kidnapping"
bns_to_ipc,143,Trafficking of person.,370,Trafficking of person,auto,"matched via shared concepts: abduction, trafficking"
bns_to_ipc,144,Exploitation of a trafficked person,370a,Exploitation of a trafficked child,auto,matched via shared concepts: trafficking
bns_to_ipc,145,Habitual dealing in slaves.,371,Habitual dealing in slaves,auto,"matched via content overlap: deal, habitual, slav"
bns_to_ipc,146,Unlawful compulsory labour.,374,Unlawful compulsory labour,auto,"matched via content overlap: compulsory, labour, unlawful"
bns_to_ipc,147,"Waging, or attempting to wage war, or abetting waging of war, against Government of India.",125,"Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war",auto,matched via shared concepts: waging-war
bns_to_ipc,148,Conspiracy to commit offences punishable by section 147.,121a,Conspiring to commit certain offences against the State,auto,matched via shared concepts: waging-war
bns_to_ipc,149,"Collecting arms, etc., with intention of waging war against Government of India.",122,"Collecting arms, etc., with The intention of waging War against the Government of India",auto,matched via shared concepts: waging-war
bns_to_ipc,15,Act of Judge when acting judicially.,77,Act of Judge when acting judicially,manual,manual mapping: judicial immunity — IPC §77
bns_to_ipc,150,Concealing with intent to facilitate design to wage war.,123,Concealing with intent to facilitate a design to wage War,auto,matched via shared concepts: waging-war
bns_to_ipc,151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power.",124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",auto,"matched via content overlap: assault, compel, exercise"
bns_to_ipc,152,"Act endangering sovereignty, unity and integrity of India.",122,"Collecting arms, etc., with The intention of waging War against the Government of India",auto,matched via shared concepts: waging-war
bns_to_ipc,153,Waging war against Government of any foreign State at peace with Government of India.,125,"Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war",auto,matched via shared concepts: waging-war
bns_to_ipc,154,Committing depredation on territories of foreign State at peace with Government of India.,126,Committing depredation On the territories of any power in alliance or at peace with the Government of India,auto,matched via shared concepts: waging-war
bns_to_ipc,155,Receiving property taken by war or depredation mentioned in sections 153 and 154.,127,Receiving property taken by war or depredation mentioned in sections 125 And 126,auto,"matched via content overlap: depredation, mentioned, property"
bns_to_ipc,156,Public servant voluntarily allowing prisoner of State or war to escape.,128,Public servant voluntarily allowing prisoner of State or war in his custody to escape,auto,"matched via content overlap: allow, escape, prisoner"
bns_to_ipc,157,Public servant negligently suffering such prisoner to escape.,129,Public servant negligently suffering prisoner of State or war in his custody to escape,auto,"matched via content overlap: escape, negligently, prisoner"
bns_to_ipc,158,"Aiding escape of, rescuing or harbouring such prisoner.",130,"Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",auto,"matched via content overlap: aid, escape, harbour"
bns_to_ipc,159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.",131,"Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",auto,matched via shared concepts: mutiny
bns_to_ipc,16,Act done pursuant to judgment or order of Court.,78,Act done pursuant to the judgment or order of Court,manual,manual mapping: act under court order — IPC §78
bns_to_ipc,160,"Abetment of mutiny, if mutiny is committed in consequence thereof.",132,"Abetment of mutiny, if mutiny is committed in consequence thereof",auto,matched via shared concepts: mutiny
bns_to_ipc,161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office.",133,"Abetment of assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office",auto,"matched via content overlap: abetment, airman, assault"
bns_to_ipc,162,"Abetment of such assault, if assault committed",134,"Abetment of such assault, if the assault is committed",auto,"matched via content overlap: abetment, assault, where"
bns_to_ipc,163,"Abetment of desertion of soldier, sailor or airman.",135,"Abetment of the desertion of an officer, soldier, sailor or airman",auto,matched via shared concepts: desertion
bns_to_ipc,164,Harbouring deserter.,136,"Harbouring such an officer, soldier, sailor or airman who has deserted",auto,matched via shared concepts: desertion
bns_to_ipc,165,Deserter concealed on board merchant vessel through negligence of master.,137,"Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",auto,matched via shared concepts: desertion
bns_to_ipc,166,"Abetment of act of insubordination by soldier, sailor or airman.",138,"Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",auto,"matched via content overlap: abetment, airman, insubordination"
bns_to_ipc,167,Persons subject to certain Acts.,213,"Taking gift, etc., to screen an offender from punishment, If the offence be capital",auto,matched via content overlap: from
bns_to_ipc,168,"Wearing garb or carrying token used by soldier, sailor or airman.",140,"Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",auto,"matched via content overlap: airman, carry, member"
bns_to_ipc,169,"Candidate, electoral right defined.",171a,"\""Candidate\"", \""Electoral right\"" defined",auto,matched via shared concepts: electoral-right
bns_to_ipc,170,Bribery.,171b,Whoever: gives a gratification to any person with the object of inducing him or any oth...,auto,matched via shared concepts: electoral-right
bns_to_ipc,171,Undue influence at elections.,171d,"At an election applies for a voting paper on votes in the name of any other person, whether living or dead",auto,matched via shared concepts: electoral-right
bns_to_ipc,172,Personation at elections.,171d,"At an election applies for a voting paper on votes in the name of any other person, whether living or dead",auto,matched via content overlap: election
bns_to_ipc,173,Punishment for bribery.,171e,Bribery,auto,"matched via content overlap: bribery, electoral"
bns_to_ipc,174,Punishment for undue influence or personation at an election.,171f,Undue influence at an election,auto,"matched via content overlap: election, influence, undue"
bns_to_ipc,175,False statement in connection with an election.,171g,False statement in connection with an election,auto,"matched via content overlap: connection, election, false"
bns_to_ipc,176,Illegal payments in connection with an election.,171h,Illegal payments in connection with elections,auto,"matched via content overlap: connection, election, illegal"
bns_to_ipc,177,Failure to keep election accounts.,171i,Failure to keep election accounts,auto,"matched via content overlap: account, election, failure"
bns_to_ipc,178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes.",230,"Coin — Coin is metal used for the time being as money, and stamped and issued by the au...",auto,matched via shared concepts: counterfeiting
bns_to_ipc,179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes.",260,Using as genuine a Government stamp known to be counterfeit,auto,matched via shared concepts: counterfeiting
bns_to_ipc,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes.",259,Having possession of a counterfeit Government stamp,auto,matched via shared concepts: counterfeiting
bns_to_ipc,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes.",489d,"Making or possessing machinery, instrument or material for forging or counterfeiting currency-notes or bank-notes",auto,"matched via content overlap: bank, counterfeit, currency"
bns_to_ipc,182,Making or using documents resembling currency-notes or bank-notes.,489e,Making or using documents resembling currency-notes or bank-notes,auto,"matched via content overlap: bank, currency, document"
bns_to_ipc,183,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government.",261,"Effacing any writing from a substance bearing a Government stamp, or removing from a document a stamp used for it, with intent to cause a loss to Government",auto,matched via shared concepts: counterfeiting
bns_to_ipc,184,Using Government stamp known to have been before used.,262,Using a Government stamp known to have been before used,auto,matched via shared concepts: counterfeiting
bns_to_ipc,185,Erasure of mark denoting that stamp has been used.,263,Erasure of mark denoting that stamps have been used,auto,matched via shared concepts: counterfeiting
bns_to_ipc,186,Prohibition of fictitious stamps.,230,"Coin — Coin is metal used for the time being as money, and stamped and issued by the au...",auto,matched via shared concepts: counterfeiting
bns_to_ipc,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law.,244,Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law,auto,matched via shared concepts: counterfeiting
bns_to_ipc,188,Unlawfully taking coining instrument from mint.,245,Unlawfully taking from a Mint any coining instrument,auto,matched via shared concepts: counterfeiting
bns_to_ipc,189,Unlawful assembly,146,Rioting,auto,matched via shared concepts: unlawful-assembly
bns_to_ipc,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm.",315,"Act done with intent to prevent a child being born alive, or to cause it to die after its birth",auto,matched via content overlap: prevent
bns_to_ipc,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.,149,"If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",auto,matched via shared concepts: unlawful-assembly
bns_to_ipc,191,Rioting.,146,Rioting,auto,"matched via shared concepts: rioting, unlawful-assembly"
bns_to_ipc,192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed.,153,"Wantonly giving provocation with intent to cause riot, If rioting be committed",auto,"matched via content overlap: provocation, riot, wantonly"
bns_to_ipc,193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place.",146,Rioting,auto,"matched via shared concepts: rioting, unlawful-assembly"
bns_to_ipc,194,Affray.,159,Engaging in a public fight and disturbing peace is committing an affray with two or more individuals.,auto,matched via shared concepts: affray
bns_to_ipc,195,"Assaulting or obstructing public servant when suppressing riot, etc",152,"Assaulting or obstructing public servant when suppressing riot, etc.",auto,"matched via content overlap: assault, obstruct, riot"
