direction,bsa_section_id,bsa_title,evidence_section_id,evidence_title,bridge_kind,mapping_note
bsa_to_evidence,3,Evidence may be given in any suit or proceeding of the existence or non-existence,5,Evidence may be given of facts in issue and relevant facts,manual,manual: evidence of facts in issue and relevant facts (Evidence §5 → BSA §3)
evidence_to_bsa,3,Evidence may be given in any suit or proceeding of the existence or non-existence,5,Evidence may be given of facts in issue and relevant facts,manual,manual: evidence of facts in issue and relevant facts (Evidence §5 → BSA §3)
bsa_to_evidence,5,"Facts which are the occasion, cause or effect, immediate or otherwise, of relevant",7,"Facts which are the occasion, cause or effect of facts in issue",auto,"shared_keywords=['cause', 'effect', 'facts', 'occasion']; title_jaccard=0.50"
evidence_to_bsa,5,"Facts which are the occasion, cause or effect, immediate or otherwise, of relevant",7,"Facts which are the occasion, cause or effect of facts in issue",auto,"shared_keywords=['cause', 'effect', 'facts', 'occasion']; title_jaccard=0.50"
bsa_to_evidence,7,"Facts necessary to explain or introduce a fact in issue or relevant fact, or which",9,Facts necessary to explain or introduce relevant facts,auto,"shared_keywords=['explain', 'facts', 'introduce', 'necessary', 'relevant']; title_jaccard=0.71"
evidence_to_bsa,7,"Facts necessary to explain or introduce a fact in issue or relevant fact, or which",9,Facts necessary to explain or introduce relevant facts,auto,"shared_keywords=['explain', 'facts', 'introduce', 'necessary', 'relevant']; title_jaccard=0.71"
bsa_to_evidence,9,Facts not otherwise relevant are relevant,11,When facts not otherwise relevant become relevant,auto,"shared_keywords=['facts', 'otherwise', 'relevant']; title_jaccard=0.75"
evidence_to_bsa,9,Facts not otherwise relevant are relevant,11,When facts not otherwise relevant become relevant,auto,"shared_keywords=['facts', 'otherwise', 'relevant']; title_jaccard=0.75"
bsa_to_evidence,10,"In suits in which damages are claimed, any fact which will enable the Court to",12,"In suits for damages, facts tending to enable Court to determine amount are relevant",auto,"shared_keywords=['damages', 'enable', 'suits']; title_jaccard=0.27"
evidence_to_bsa,10,"In suits in which damages are claimed, any fact which will enable the Court to",12,"In suits for damages, facts tending to enable Court to determine amount are relevant",auto,"shared_keywords=['damages', 'enable', 'suits']; title_jaccard=0.27"
bsa_to_evidence,11,"Where the question is as to the existence of any right or custom, the following",13,Facts relevant when right or custom is in question,auto,"shared_keywords=['custom', 'question', 'right']; title_jaccard=0.43"
evidence_to_bsa,11,"Where the question is as to the existence of any right or custom, the following",13,Facts relevant when right or custom is in question,auto,"shared_keywords=['custom', 'question', 'right']; title_jaccard=0.43"
bsa_to_evidence,12,"Facts showing the existence of any state of mind, such as intention, knowledge,",14,"Facts showing existence of state of mind, or of body or bodily feeling",auto,"shared_keywords=['existence', 'facts', 'mind', 'showing', 'state']; title_jaccard=0.50"
evidence_to_bsa,12,"Facts showing the existence of any state of mind, such as intention, knowledge,",14,"Facts showing existence of state of mind, or of body or bodily feeling",auto,"shared_keywords=['existence', 'facts', 'mind', 'showing', 'state']; title_jaccard=0.50"
bsa_to_evidence,13,"When there is a question whether an act was accidental or intentional, or done",15,Facts bearing on question whether act was accidental or intentional,auto,"shared_keywords=['accidental', 'intentional', 'question', 'whether']; title_jaccard=0.50"
evidence_to_bsa,13,"When there is a question whether an act was accidental or intentional, or done",15,Facts bearing on question whether act was accidental or intentional,auto,"shared_keywords=['accidental', 'intentional', 'question', 'whether']; title_jaccard=0.50"
