bnss_section_id,bnss_title,crpc_section_id,crpc_title,score,reason,drop_reason
85,"The Court issuing a proclamation under section 84 may, for reasons to be",83,Attachment of property of person absconding. —(1) The Court issuing a proclamation under,3.100,"shared_keywords=['issuing', 'proclamation']; title_jaccard=0.33",score=3.1; jaccard=0.33
96,(a) Where any Court has reason to believe that a person to whom a summons,93,When search -warrant may be issued. —(1) (a) Where any Court has reason to believe that a,3.100,"shared_keywords=['believe', 'reason']; title_jaccard=0.33",score=3.1; jaccard=0.33
26,"In conferring powers under this Sanhita, the High Court or the State Government,",32,"Mode of conferring powers. —(1) In conferring powers under this Code, the High Court or the",3.000,"shared_keywords=['conferring', 'high']; title_jaccard=0.33",score=3.0; jaccard=0.33
122,Where after the making of an order under sub-section ( 1) of section 117 or the,105j,Certain transfers to be null and void. —Where after the making of an order under sub,3.000,"shared_keywords=['after', 'making']; title_jaccard=0.33",score=3.0; jaccard=0.33
137,"If, on an inquiry under section 135, it is not proved that it is necessary for",118,"Discharge of person informed against. —If, on an inquiry under section 116, it is not proved that it is",3.000,"shared_keywords=['inquiry', 'proved']; title_jaccard=0.33",score=3.0; jaccard=0.33
162,"A District Magistrate or Sub-divisional Magistrate, or any other Executive",480a,Other powers of Magistrate .—Any Judicial Magistrate or Executive Magistrate shall be entitled to,3.000,"shared_keywords=['executive', 'magistrate']; title_jaccard=0.33",score=3.0; jaccard=0.33
322,The parties to any proceeding under this Sanhita in which a commission is,287,Parties may examine witnesses.—(1) The parties to any proceeding under this Code in which a,3.000,"shared_keywords=['parties', 'proceeding']; title_jaccard=0.33",score=3.0; jaccard=0.33
387,"When any Court has under section 384 adjudged an offender to punishment, or",348,Discharge of offender on submission of apology. —When any Court has under section 345 adjudged an,3.000,"shared_keywords=['adjudged', 'offender']; title_jaccard=0.33",score=3.0; jaccard=0.33
474,"When any person has been sentenced to punishment for an offence, the",432,Power to suspend or remit sentences. —(1) When any person has been sentenced to punishment for an,3.000,"shared_keywords=['punishment', 'sentenced']; title_jaccard=0.33",score=3.0; jaccard=0.33
485,"A High Court or Court of Session may direct,",439,Special powers of High Court or Court of Session regarding bail. —(1) A High Court or Court of,3.000,"shared_keywords=['high', 'session']; title_jaccard=0.33",score=3.0; jaccard=0.33
91,When any person for whose appearance or arrest the officer presiding in any,88,Power to take bond for appearance. —When any person for whose ap pearance or arrest the,2.957,"shared_keywords=['appearance', 'arrest']; title_jaccard=0.29",score=2.957; jaccard=0.29
22,A High Court may pass any sentence authorised by law,28,Sentences which High Courts and Sessions Judges may pass. —(1) A High Court may pass any,2.857,"shared_keywords=['high', 'pass']; title_jaccard=0.29",score=2.857; jaccard=0.29
