direction,bnss_section_id,bnss_title,crpc_section_id,crpc_title,bridge_kind,mapping_note
bnss_to_crpc,6,"Besides the High Courts and the Courts constituted under any law, other than this",6,"Classes of Criminal Courts.—Besides the High Courts and the Courts constituted under any law,",auto,"shared_keywords=['besides', 'constituted', 'high']; title_jaccard=0.50"
crpc_to_bnss,6,"Besides the High Courts and the Courts constituted under any law, other than this",6,"Classes of Criminal Courts.—Besides the High Courts and the Courts constituted under any law,",auto,"shared_keywords=['besides', 'constituted', 'high']; title_jaccard=0.50"
bnss_to_crpc,8,The State Government shall establish a Court of Session for every sessions,9,Court of Session.—(1) The State Government shall establish a Court of Session for every sessions,auto,"shared_keywords=['establish', 'government', 'session', 'sessions', 'state']; title_jaccard=1.00"
crpc_to_bnss,8,The State Government shall establish a Court of Session for every sessions,9,Court of Session.—(1) The State Government shall establish a Court of Session for every sessions,auto,"shared_keywords=['establish', 'government', 'session', 'sessions', 'state']; title_jaccard=1.00"
bnss_to_crpc,9,In every district there shall be established as many Courts of Judicial Magistrates,11,Courts of Judicial Magistrates.—(1) In every district (not being a metropolitan area) there shall,auto,"shared_keywords=['district', 'judicial', 'magistrates', 'there']; title_jaccard=0.50"
crpc_to_bnss,9,In every district there shall be established as many Courts of Judicial Magistrates,11,Courts of Judicial Magistrates.—(1) In every district (not being a metropolitan area) there shall,auto,"shared_keywords=['district', 'judicial', 'magistrates', 'there']; title_jaccard=0.50"
bnss_to_crpc,11,"The High Court may, if requested by the Central or State Government so to do,",13,"Special Judicial Magistrates. —(1) The High Court may, if requested by the Central or State",auto,"shared_keywords=['central', 'high', 'requested', 'state']; title_jaccard=0.50"
crpc_to_bnss,11,"The High Court may, if requested by the Central or State Government so to do,",13,"Special Judicial Magistrates. —(1) The High Court may, if requested by the Central or State",auto,"shared_keywords=['central', 'high', 'requested', 'state']; title_jaccard=0.50"
bnss_to_crpc,12,"Subject to the control of the High Court, the Chief Judicial Magistrate may,",14,"Local jurisdiction of Judicial Magistrates. —(1) Subject to the control of the High Court, th e",auto,"shared_keywords=['control', 'high', 'judicial', 'subject']; title_jaccard=0.44"
crpc_to_bnss,12,"Subject to the control of the High Court, the Chief Judicial Magistrate may,",14,"Local jurisdiction of Judicial Magistrates. —(1) Subject to the control of the High Court, th e",auto,"shared_keywords=['control', 'high', 'judicial', 'subject']; title_jaccard=0.44"
bnss_to_crpc,13,Every Chief Judicial Magistrate shall be subordinate to the Sessions Judge;,12,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc. —(1) In every",auto,"shared_keywords=['chief', 'judicial', 'magistrate']; title_jaccard=0.43"
crpc_to_bnss,13,Every Chief Judicial Magistrate shall be subordinate to the Sessions Judge;,12,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc. —(1) In every",auto,"shared_keywords=['chief', 'judicial', 'magistrate']; title_jaccard=0.43"
bnss_to_crpc,15,"The State Government may appoint, for such term as it may think fit, Executive",21,"Special Executive Magistrates. —The State Government may appoint, for such term as it may",auto,"shared_keywords=['appoint', 'executive', 'government', 'state', 'term']; title_jaccard=0.62"
crpc_to_bnss,15,"The State Government may appoint, for such term as it may think fit, Executive",21,"Special Executive Magistrates. —The State Government may appoint, for such term as it may",auto,"shared_keywords=['appoint', 'executive', 'government', 'state', 'term']; title_jaccard=0.62"
bnss_to_crpc,16,"Subject to the control of the State Government, the District Magistrate may,",22,Local Jurisdiction of Executive Magistrates. —(1) Subject to the control of the State,auto,"shared_keywords=['control', 'state', 'subject']; title_jaccard=0.30"
crpc_to_bnss,16,"Subject to the control of the State Government, the District Magistrate may,",22,Local Jurisdiction of Executive Magistrates. —(1) Subject to the control of the State,auto,"shared_keywords=['control', 'state', 'subject']; title_jaccard=0.30"
bnss_to_crpc,17,"All Executive Magistrates shall be subordinate to the District Magistrate, and",411,Making over or withdrawal of cases by Executive Magistrates. —Any District Magistrate or,auto,"shared_keywords=['district', 'executive', 'magistrate', 'magistrates']; title_jaccard=0.44"
crpc_to_bnss,17,"All Executive Magistrates shall be subordinate to the District Magistrate, and",411,Making over or withdrawal of cases by Executive Magistrates. —Any District Magistrate or,auto,"shared_keywords=['district', 'executive', 'magistrate', 'magistrates']; title_jaccard=0.44"
bnss_to_crpc,18,"For every High Court, the Central Government or the State Government shall,",24,"Public Prosecutors. —(1) For every High Court, the Central Government or the State",auto,"shared_keywords=['central', 'government', 'high', 'state']; title_jaccard=0.67"
crpc_to_bnss,18,"For every High Court, the Central Government or the State Government shall,",24,"Public Prosecutors. —(1) For every High Court, the Central Government or the State",auto,"shared_keywords=['central', 'government', 'high', 'state']; title_jaccard=0.67"
bnss_to_crpc,19,The State Government shall appoint in every district one or more Assistant,25,Assistant Public prosecutors.—(1) The State Government shall appoint in every district one or,auto,"shared_keywords=['appoint', 'assistant', 'district', 'government', 'state']; title_jaccard=0.62"
crpc_to_bnss,19,The State Government shall appoint in every district one or more Assistant,25,Assistant Public prosecutors.—(1) The State Government shall appoint in every district one or,auto,"shared_keywords=['appoint', 'assistant', 'district', 'government', 'state']; title_jaccard=0.62"
bnss_to_crpc,20,"The State Government may establish,",25a,Directorate of Prosecution .—(1) The State Government may establish a Directorate of,auto,"shared_keywords=['establish', 'government', 'state']; title_jaccard=0.60"
crpc_to_bnss,20,"The State Government may establish,",25a,Directorate of Prosecution .—(1) The State Government may establish a Directorate of,auto,"shared_keywords=['establish', 'government', 'state']; title_jaccard=0.60"
bnss_to_crpc,21,"Subject to the other provisions of this Sanhita,",26,"Courts by which offences are triable.—Subject to the other provisions of this Code,",auto,"shared_keywords=['provisions', 'subject']; title_jaccard=0.40"
crpc_to_bnss,21,"Subject to the other provisions of this Sanhita,",26,"Courts by which offences are triable.—Subject to the other provisions of this Code,",auto,"shared_keywords=['provisions', 'subject']; title_jaccard=0.40"
bnss_to_crpc,22,Sentences which High Courts and Sessions Judges may pass.—(1) A High Court may pass any,28,Sentences which High Courts and Sessions Judges may pass. —(1) A High Court may pass any,manual,manual: sentences High Courts may pass (CrPC §28 → BNSS §22)
crpc_to_bnss,22,Sentences which High Courts and Sessions Judges may pass.—(1) A High Court may pass any,28,Sentences which High Courts and Sessions Judges may pass. —(1) A High Court may pass any,manual,manual: sentences High Courts may pass (CrPC §28 → BNSS §22)
bnss_to_crpc,23,The Court of a Chief Judicial Magistrate may pass any sentence authorised by,29,Sentences which Magistrates may pass.—(1) The Court of a Chief Judicial Magistrate may pass,auto,"shared_keywords=['chief', 'judicial', 'magistrate', 'pass']; title_jaccard=0.50"
crpc_to_bnss,23,The Court of a Chief Judicial Magistrate may pass any sentence authorised by,29,Sentences which Magistrates may pass.—(1) The Court of a Chief Judicial Magistrate may pass,auto,"shared_keywords=['chief', 'judicial', 'magistrate', 'pass']; title_jaccard=0.50"
bnss_to_crpc,24,The Court of a Judicial Magistrate may award such term of imprisonment in,30,Sentence of imprisonment in default of fine. —(1) The Court of a Magistrate may award such,auto,"shared_keywords=['award', 'imprisonment', 'magistrate']; title_jaccard=0.38"
crpc_to_bnss,24,The Court of a Judicial Magistrate may award such term of imprisonment in,30,Sentence of imprisonment in default of fine. —(1) The Court of a Magistrate may award such,auto,"shared_keywords=['award', 'imprisonment', 'magistrate']; title_jaccard=0.38"
bnss_to_crpc,25,"When a person is convicted at one trial of two or more offences, the Court may,",31,Sentence in cases of conviction of several offences at one trial.—(1) When a person is convicted at,auto,"shared_keywords=['convicted', 'offences', 'trial']; title_jaccard=0.38"
crpc_to_bnss,25,"When a person is convicted at one trial of two or more offences, the Court may,",31,Sentence in cases of conviction of several offences at one trial.—(1) When a person is convicted at,auto,"shared_keywords=['convicted', 'offences', 'trial']; title_jaccard=0.38"
bnss_to_crpc,26,"Mode of conferring powers.—(1) In conferring powers under this Sanhita, the High Court or the",32,"Mode of conferring powers. —(1) In conferring powers under this Code, the High Court or the",manual,manual: mode of conferring powers (CrPC §32 → BNSS §26)
crpc_to_bnss,26,"Mode of conferring powers.—(1) In conferring powers under this Sanhita, the High Court or the",32,"Mode of conferring powers. —(1) In conferring powers under this Code, the High Court or the",manual,manual: mode of conferring powers (CrPC §32 → BNSS §26)
bnss_to_crpc,27,Whenever any person holding an office in the service of Government who has,33,Powers of officers appointed. —Whenever any person holding an office in the ser vice of,auto,"shared_keywords=['holding', 'office', 'whenever']; title_jaccard=0.38"
crpc_to_bnss,27,Whenever any person holding an office in the service of Government who has,33,Powers of officers appointed. —Whenever any person holding an office in the ser vice of,auto,"shared_keywords=['holding', 'office', 'whenever']; title_jaccard=0.38"
bnss_to_crpc,28,"The High Court or the State Government, as the case may be, may withdraw all",34,"Withdrawal of powers.—(1) The High Court or the Sta te Government, as the case may be, may",auto,"shared_keywords=['case', 'government', 'high']; title_jaccard=0.50"
crpc_to_bnss,28,"The High Court or the State Government, as the case may be, may withdraw all",34,"Withdrawal of powers.—(1) The High Court or the Sta te Government, as the case may be, may",auto,"shared_keywords=['case', 'government', 'high']; title_jaccard=0.50"
bnss_to_crpc,30,Police officers superior in rank to an officer in charge of a police station may,36,Powers of superior officers of police .—Police officers superior in rank to an officer in charge of,auto,"shared_keywords=['charge', 'officer', 'officers', 'police', 'rank', 'superior']; title_jaccard=0.86"
crpc_to_bnss,30,Police officers superior in rank to an officer in charge of a police station may,36,Powers of superior officers of police .—Police officers superior in rank to an officer in charge of,auto,"shared_keywords=['charge', 'officer', 'officers', 'police', 'rank', 'superior']; title_jaccard=0.86"
bnss_to_crpc,31,Every person is bound to assist a Magistrate or police officer reasonably demanding,37,Public when to assist Magistrates and police .—Every person is bound to assist a Magistrate or,auto,"shared_keywords=['assist', 'bound', 'magistrate', 'police']; title_jaccard=0.44"
crpc_to_bnss,31,Every person is bound to assist a Magistrate or police officer reasonably demanding,37,Public when to assist Magistrates and police .—Every person is bound to assist a Magistrate or,auto,"shared_keywords=['assist', 'bound', 'magistrate', 'police']; title_jaccard=0.44"
bnss_to_crpc,32,"When a warrant is directed to a person other than a police officer, any other",38,"Aid to person, other than police officer, executing warrant .—When a warrant is directed to a",auto,"shared_keywords=['directed', 'officer', 'police', 'than', 'warrant']; title_jaccard=0.83"
crpc_to_bnss,32,"When a warrant is directed to a person other than a police officer, any other",38,"Aid to person, other than police officer, executing warrant .—When a warrant is directed to a",auto,"shared_keywords=['directed', 'officer', 'police', 'than', 'warrant']; title_jaccard=0.83"
bnss_to_crpc,34,Every officer employed in connection with the affairs of a village and every,40,Duty of officers employed in connection with the affairs of a village to make certain,auto,"shared_keywords=['affairs', 'connection', 'employed', 'village']; title_jaccard=0.44"
crpc_to_bnss,34,Every officer employed in connection with the affairs of a village and every,40,Duty of officers employed in connection with the affairs of a village to make certain,auto,"shared_keywords=['affairs', 'connection', 'employed', 'village']; title_jaccard=0.44"
bnss_to_crpc,35,When police may arrest without warrant.—(1) Any police officer may without an order from a,41,When police may arrest without warrant.—(1) Any police officer may without an order from a,manual,manual: arrest without warrant (CrPC §41 → BNSS §35)
crpc_to_bnss,35,When police may arrest without warrant.—(1) Any police officer may without an order from a,41,When police may arrest without warrant.—(1) Any police officer may without an order from a,manual,manual: arrest without warrant (CrPC §41 → BNSS §35)
bnss_to_crpc,36,Every police officer while making an arrest shall,41b,Procedure of arrest and duties of officer making arrest. —Every police officer while making,auto,"shared_keywords=['arrest', 'making', 'officer', 'police', 'while']; title_jaccard=0.83"
crpc_to_bnss,36,Every police officer while making an arrest shall,41b,Procedure of arrest and duties of officer making arrest. —Every police officer while making,auto,"shared_keywords=['arrest', 'making', 'officer', 'police', 'while']; title_jaccard=0.83"
bnss_to_crpc,37,The State Government shall,268,Power of State Government to exclude certain persons from operation of section,auto,"shared_keywords=['government', 'state']; title_jaccard=0.40"
crpc_to_bnss,37,The State Government shall,268,Power of State Government to exclude certain persons from operation of section,auto,"shared_keywords=['government', 'state']; title_jaccard=0.40"
bnss_to_crpc,38,Right of arrested person to meet an advocate of his choice during interrogation .—When any,41b,Procedure of arrest and duties of officer making arrest. —Every police officer while making,manual,manual: right to meet advocate during interrogation (CrPC §41B → BNSS §38)
