direction,bns_section_id,bns_title,ipc_section_id,ipc_title,bridge_kind,mapping_note
bns_to_ipc,1,"Short title, commencement and application",29a,Electronic record,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
bns_to_ipc,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which.",376a,Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 6)
bns_to_ipc,111,Organised crime.,29a,Electronic record,auto,DROPPED (no equivalent): matched via keyword overlap (score 3)
bns_to_ipc,112,Petty organised crime.,29a,Electronic record,auto,DROPPED (no equivalent): matched via keyword overlap (score 3)
bns_to_ipc,113,Terrorist act.,478,"Repealed by the Trade and Merchandise Marks Act, 1958 (43 of 1958), S. 135 and Sch.",auto,DROPPED (no equivalent): matched via keyword overlap (score 4)
bns_to_ipc,13,Enhanced punishment for certain offences after previous conviction.,165a,Punishment for abetment of offences punishable under section 161 or section 165,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 6)
bns_to_ipc,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law",220,"Commitment for trial or confinement by a person Having authority, who Knows that he is Acting contrary to law",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
bns_to_ipc,18,Accident in doing a lawful act.,511,"Attempting to commit offences punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
bns_to_ipc,2,Definitions,230,"Coin — Coin is metal used for the time being as money, and stamped and issued by the au...",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
bns_to_ipc,200,Punishment for non-treatment of victim,498a,Punishment for subjecting a married woman to Cruelty,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
bns_to_ipc,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated,149,"If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
bns_to_ipc,29,Exclusion of acts which are offences independently of harm caused.,304,"Culpable homicide not amounting to murder, If act by which the death is caused is done with intention of causing death, etc.",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
